S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,                                        1,,ACLBSL,,,                                        574.00,,                                        5.00,,                                        0.88,,                                        580.00,,                                        580.00,,                                        569.00,,                                        397.00,,                                        569.00,
,                                        2,,ADBL,,,                                        261.90,,                                        0.50,,                                        0.19,,                                        264.90,,                                        264.90,,                                        261.00,,"                                        18,286.00",,                                        261.40,
,                                        3,,AHL,,,                                        311.00,,                                        1.00,,                                        0.32,,                                        304.10,,                                        314.00,,                                        304.10,,"                                        1,830.00",,                                        310.00,
,                                        4,,AHPC,,,                                        217.00,,                                        0.90,,                                        0.42,,                                        217.00,,                                        222.90,,                                        217.00,,"                                        19,255.00",,                                        216.10,
,                                        5,,AKJCL,,,                                        161.00,,                                        0.00,,                                        0.00,,                                        163.00,,                                        164.20,,                                        160.90,,"                                        8,723.00",,                                        161.00,
,                                        6,,AKPL,,,                                        188.90,,                                        -0.10,,                                        -0.05,,                                        186.40,,                                        194.50,,                                        186.00,,"                                        40,676.00",,                                        189.00,
,                                        7,,ALBSL,,,                                        715.00,,                                        33.90,,                                        4.98,,                                        687.00,,                                        715.00,,                                        687.00,,"                                        3,239.00",,                                        681.10,
,                                        8,,ALICL,,,                                        693.90,,                                        2.90,,                                        0.42,,                                        687.00,,                                        703.00,,                                        687.00,,"                                        29,994.00",,                                        691.00,
,                                        9,,ANLB,,,"                                        2,090.00",,                                        30.00,,                                        1.46,,"                                        2,031.00",,"                                        2,090.00",,"                                        2,031.00",,                                        815.00,,"                                        2,060.00",
,                                        10,,API,,,                                        178.00,,                                        -4.00,,                                        -2.20,,                                        182.00,,                                        182.00,,                                        177.70,,"                                        75,026.00",,                                        182.00,
,                                        11,,AVYAN,,,                                        675.10,,                                        -4.90,,                                        -0.72,,                                        666.40,,                                        691.00,,                                        666.40,,"                                        1,620.00",,                                        680.00,
,                                        12,,BARUN,,,                                        217.50,,                                        -0.50,,                                        -0.23,,                                        221.00,,                                        221.00,,                                        214.10,,"                                        4,119.00",,                                        218.00,
,                                        13,,BBC,,,"                                        3,930.00",,                                        180.00,,                                        4.80,,"                                        3,825.00",,"                                        3,978.00",,"                                        3,765.00",,                                        481.00,,"                                        3,750.00",
